"ID","OWNERID","ISDELETED","NAME","RECORDTYPEID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","MAYEDIT","ISLOCKED","LASTVIEWEDDATE","LASTREFERENCEDDATE","COUNTRY_OVERRIDE_VOD__C","EVENT_CONFIGURATION_VOD__C","EVENT_LAYOUT_VOD__C","EVENT_STATUS_VOD__C","EVENT_TEAM_ROLE_VOD__C","EXPENSE_ESTIMATE_LAYOUT_VOD__C","EXPENSE_HEADER_LAYOUT_VOD__C","EXPENSE_LINE_LAYOUT_VOD__C","EXTERNAL_ID__C","USER_PROFILE_ID_VOD__C","USER_PROFILE_VOD__C","VISIBLE_BUTTONS_VOD__C","EVENT_OBJECT_NAME_VOD__C","PAGE_LAYOUT_VOD__C","RECORD_TYPE_VOD__C"
"a4d5E0000008dL4QAI","00558000001PGYZAA4","false","EPL -0000000777","01258000000QJVOAA4","2017-04-13T13:07:09.000Z","00558000001PGYZAA4","2017-04-13T13:07:09.000Z","00558000001PGYZAA4","2017-04-13T13:07:09.000Z","true","false","","","","a4b5E000000025TQAQ","","Pending_Approval_vod","","","","","EPL -0000000299","","","","EM_Event_Team_Member_vod","Simple Activity Team Member Layout","Activity_Team_Member_Simple_HCPTS"
"a4d5E0000008dJSQAY","00558000001PGYZAA4","false","EPL -0000000751","01258000000QJVOAA4","2017-04-13T13:06:44.000Z","00558000001PGYZAA4","2017-04-13T13:06:44.000Z","00558000001PGYZAA4","2017-05-12T10:32:27.000Z","true","false","2017-05-11T22:34:54.000Z","2017-05-11T22:34:54.000Z","","a4b5E000000025TQAQ","","Post-Event","Read Only","","","","EPL -00000129881","","","","Expense_Header_vod","BMS Simple Expense Header ReadOnly Layout",""
"a4d5E0000008dHWQAY","00558000001PGYZAA4","false","EPL -0000000722","01258000000QJVOAA4","2017-04-13T13:06:16.000Z","00558000001PGYZAA4","2017-04-13T13:06:16.000Z","00558000001PGYZAA4","2017-04-13T13:06:16.000Z","true","false","","","","a4b5E000000025TQAQ","","Post-Event-PostApproval","Read Only","","","","EPL -0002212362","","","","Expense_Header_vod","BMS Simple Expense Header ReadOnly Layout",""
"a4d5E0000008dHXQAY","00558000001PGYZAA4","false","EPL -0000000727","01258000000QJVOAA4","2017-04-13T13:06:21.000Z","00558000001PGYZAA4","2017-04-13T13:06:21.000Z","00558000001PGYZAA4","2017-04-13T13:06:21.000Z","true","false","","","","a4b5E000000025TQAQ","","Post-Event-PostApproval","","","","","EPL -0000011362","","","","EM_Event_Budget_vod","Simple WBSCC Budget Layout","WBS_CC_Simple_HCPTS"
"a4d5E0000008dHYQAY","00558000001PGYZAA4","false","EPL -0000000731","01258000000QJVOAA4","2017-04-13T13:06:24.000Z","00558000001PGYZAA4","2017-05-21T14:52:45.000Z","00558000001PGYZAA4","2017-05-22T10:30:15.000Z","true","false","2017-05-21T15:18:22.000Z","2017-05-21T15:18:22.000Z","","a4b5E000000025TQAQ","","","Read Only","","","","EPL -00000009992","","","","Expense_Line_vod","BMS Simple Expense Line Readonly Layout","Event_Expense_Line_vod"
"a4d5E0000008dHZQAY","00558000001PGYZAA4","false","EPL -0000000784","01258000000QJVOAA4","2017-04-13T13:07:16.000Z","00558000001PGYZAA4","2017-04-13T13:07:16.000Z","00558000001PGYZAA4","2017-04-28T10:31:33.000Z","true","false","","","","a4b5E000000025TQAQ","","Pending_Approval_vod","","","","","EPL -0000000296","","","","EM_Event_Budget_vod","Simple WBSCC Budget Layout","WBS_CC_Simple_HCPTS"
"a4d5E0000008dKuQAI","00558000001PGYZAA4","false","EPL -0000000774","012d0000000XPG9AAO","2017-04-13T13:07:06.000Z","00558000001PGYZAA4","2017-05-18T21:11:16.000Z","00558000001PGYZAA4","2017-05-18T21:11:16.000Z","true","false","2017-05-18T21:11:16.000Z","2017-05-18T21:11:16.000Z","","a4b5E000000025TQAQ","BMS_Simple_ApprovedPostEvent","Post-Event-PostApproval","","","","","EPL -00000003044","","",";Replan_BMS;Close_vod;Attendee_Reconciliation_vod;Manage_Attendees_vod;Cancel_Event_vod;Generate_Sign_In_vod;Generate_Invitations_vod;View_Signatures_vod;","","",""
"a4d5E0000008dJwQAI","00558000001PGYZAA4","false","EPL -0000000757","012d0000000XPG9AAO","2017-04-13T13:06:50.000Z","00558000001PGYZAA4","2017-05-18T21:11:17.000Z","00558000001PGYZAA4","2017-05-18T21:11:17.000Z","true","false","2017-05-18T21:11:17.000Z","2017-05-18T21:11:17.000Z","","a4b5E000000025TQAQ","BMS_Simple_Read_Only","Post-Event-PostApproval","Read Only","","","","EPL -0000011304","","","","","",""
"a4d5E0000008dIFQAY","00558000001PGYZAA4","false","EPL -0000000734","01258000000QJVOAA4","2017-04-13T13:06:27.000Z","00558000001PGYZAA4","2017-04-13T13:06:27.000Z","00558000001PGYZAA4","2017-04-13T13:06:27.000Z","true","false","","","","a4b5E000000025TQAQ","","Post-Event-PostApproval","","","","","372","","",";Edit;Delete;","EM_Attendee_vod","BMS_HCPTS_Simple_Attendee_Layout","Simple_Attendee_HCPTS"
"a4d5E0000008dIGQAY","00558000001PGYZAA4","false","EPL -0000000736","01258000000QJVOAA4","2017-04-13T13:06:30.000Z","00558000001PGYZAA4","2017-04-13T13:06:30.000Z","00558000001PGYZAA4","2017-04-13T13:06:30.000Z","true","false","","","","a4b5E000000025TQAQ","","Closed_vod","","","","","EPL -00000009883","","","","EM_Expense_Estimate_vod","BMS Expense Estimate Simple Read Only",""
"a4d5E0000008dHvQAI","00558000001PGYZAA4","false","EPL -0000000729","01258000000QJVOAA4","2017-04-13T13:06:22.000Z","00558000001PGYZAA4","2017-04-26T21:23:00.000Z","0055E000000ulR7QAI","2017-04-26T21:23:00.000Z","true","false","","","","a4b5E000000025TQAQ","","Approved_vod","Read Only","","","","EPL -00000007299","","","","EM_Attendee_vod","BMS_HCPTS_Simple_Attendee_Layout","Simple_Attendee_HCPTS"
