RECORDTYPEID,COUNTRY_OVERRIDE_VOD__C,EVENT_CONFIGURATION_VOD__C,EVENT_LAYOUT_VOD__C,EVENT_STATUS_VOD__C,EVENT_TEAM_ROLE_VOD__C,EXPENSE_ESTIMATE_LAYOUT_VOD__C,EXPENSE_HEADER_LAYOUT_VOD__C,EXPENSE_LINE_LAYOUT_VOD__C,EXTERNAL_ID__C,USER_PROFILE_ID_VOD__C,USER_PROFILE_VOD__C,VISIBLE_BUTTONS_VOD__C,EVENT_OBJECT_NAME_VOD__C,PAGE_LAYOUT_VOD__C,RECORD_TYPE_VOD__C
012d0000000XPG9AAO,,a4b3E00000001J3QAI,BMS_Simple_Read_Only,Pending_Approval_vod,Service Coordinator,,,,EPL -0000000310,,,;Recall_Approval_Request_vod;,,,
01258000000QJVOAA4,,a4b3E00000001J3QAI,,Post-Event,Read Only,,,,EPL -00000019992,,,,Expense_Line_vod,BMS Simple Expense Line Readonly Layout,
012d0000000XPG9AAO,,a4b3E00000001J3QAI,BMS_Simple_Read_Only,Pre-Event,Approver_vod,,,,EPL -0000033249,,,,,,
01258000000QJVOAA4,,a4b3E00000001J3QAI,,Post-Event-PostApproval,,,,,EPL -00013212362,,,;Edit;Delete;,Expense_Header_vod,BMS Event Speaker Expense Header Layout,
01258000000QJVOAA4,,a4b3E00000001J3QAI,,Approved_vod,,,,,EPL -00000007699,,,;Edit;Delete;,EM_Attendee_vod,BMS_HCPTS_Simple_Attendee_Layout,Simple_Attendee_HCPTS
01258000000QJVOAA4,,a4b3E00000001J3QAI,,Post-Event-PostApproval,Read Only,,,,376,,,,EM_Attendee_vod,BMS_HCPTS_Simple_Attendee_Layout,Simple_Attendee_HCPTS
01258000000QJVOAA4,,a4b3E00000001J3QAI,,,Read Only,,,,EPL -00000009993,,,,EM_Expense_Estimate_vod,BMS Expense Estimate Simple Read Only,
01258000000QJVOAA4,,a4b3E00000001J3QAI,,Approved_vod,,,,,EPL -0000001362,,,,EM_Expense_Estimate_vod,BMS Expense Estimate Simple Read Only,
012d0000000XPG9AAO,,a4b3E00000001J3QAI,BMS_Simple_Read_Only,Closed_vod,,,,,EPL -0000000264,,,,,,
01258000000QJVOAA4,,a4b3E00000001J3QAI,,Closed_vod,,,,,EPL -0000000271,,,,EM_Event_Speaker_vod,BMS Services Simplified Event Speaker Layout,
01258000000QJVOAA4,,a4b3E00000001J3QAI,,Closed_vod,,,,,EPL -0000000272,,,,EM_Event_Team_Member_vod,Simple Activity Team Member Layout,Activity_Team_Member_Simple_HCPTS
01258000000QJVOAA4,,a4b3E00000001J3QAI,,Pre-Event,Read Only,,,,EPL -00000002778,,,,EM_Event_Team_Member_vod,Simple Activity Team Member Layout,Activity_Team_Member_Simple_HCPTS
01258000000QJVOAA4,,a4b3E00000001J3QAI,,Post-Event-PostApproval,Read Only,,,,EPL -002343102779,,,,EM_Event_Team_Member_vod,Simple Activity Team Member Layout,Activity_Team_Member_Simple_HCPTS
01258000000QJVOAA4,,a4b3E00000001J3QAI,,Pending_Approval_vod,,,,,EPL -00000007800,,,,EM_Attendee_vod,BMS_HCPTS_Simple_Attendee_Layout,
012d0000000XPG9AAO,,a4b3E00000001J3QAI,BMS_Simple_Read_Only,Pending_Approval_vod,Approver_vod,,,,EPL -0000000312,,,;Approve_vod;Reject_vod;,,,
01258000000QJVOAA4,,a4b3E00000001J3QAI,,Post-Event-PostApproval,Read Only,,,,EPL -03322362,,,,Expense_Line_vod,BMS Simple Expense Line Readonly Layout,
01258000000QJVOAA4,,a4b3E00000001J3QAI,,Pre-Event,Read Only,,,,EPL -00000008891,,,,Expense_Header_vod,BMS Simple Expense Header ReadOnly Layout,
012d0000000XPG9AAO,,a4b3E00000001J3QAI,BMS_Simple_PrePostEvent,Post-Event,,,,,EPL -0000000261,,,;Edit;Close_vod;Attendee_Reconciliation_vod;Manage_Attendees_vod;Reschedule_vod;Cancel_Event_vod;Generate_Sign_In_vod;Generate_Invitations_vod;View_Signatures_vod;Submit_for_Approval_vod;,,,
01258000000QJVOAA4,,a4b3E00000001J3QAI,,Closed_vod,,,,,EPL -00000008892,,,,Expense_Line_vod,BMS Simple Expense Line Readonly Layout,
01258000000QJVOAA4,,a4b3E00000001J3QAI,,Closed_vod,,,,,EPL -0000000270,,,,EM_Event_Budget_vod,Simple WBSCC Budget Layout,WBS_CC_Simple_HCPTS
012d0000000XPG9AAO,,a4b3E00000001J3QAI,BMS_Simple_Read_Only,Pending_Approval_vod,Organizer_vod,,,,EPL -0000000309,,,;Recall_Approval_Request_vod;,,,
012d0000000XPG9AAO,,a4b3E00000001J3QAI,BMS_Simple_Read_Only,Approved_vod,Read Only,,,,EPL -0000001304,,,,,,
01258000000QJVOAA4,,a4b3E00000001J3QAI,,Closed_vod,,,,,EPL -00000009881,,,,Expense_Header_vod,BMS Simple Expense Header ReadOnly Layout,
01258000000QJVOAA4,,a4b3E00000001J3QAI,,Pre-Event,Read Only,,,,EPL -000000889921,,,,Expense_Line_vod,BMS Simple Expense Line Readonly Layout,Event_Expense_Line_vod
