ID,RECORDTYPEID,COUNTRY_OVERRIDE_VOD__C,EVENT_CONFIGURATION_VOD__C,EVENT_LAYOUT_VOD__C,EVENT_STATUS_VOD__C,EVENT_TEAM_ROLE_VOD__C,EXPENSE_ESTIMATE_LAYOUT_VOD__C,EXPENSE_HEADER_LAYOUT_VOD__C,EXPENSE_LINE_LAYOUT_VOD__C,EXTERNAL_ID__C,USER_PROFILE_ID_VOD__C,USER_PROFILE_VOD__C,VISIBLE_BUTTONS_VOD__C,EVENT_OBJECT_NAME_VOD__C,PAGE_LAYOUT_VOD__C,RECORD_TYPE_VOD__C
a4d3E000000028wQAA,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Pre-Event,Read Only,,,,EPL -00000008891,,,,Expense_Header_vod,BMS Simple Expense Header ReadOnly Layout,
a4d3E00000002AJQAY,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Post-Event-PostApproval,,,,,EPL -0000011362,,,,EM_Event_Budget_vod,Simple WBSCC Budget Layout,WBS_CC_Simple_HCPTS
a4d3E000000029kQAA,012d0000000XPG9AAO,,a4b3E00000001J3QAI,BMS_Simple_Read_Only,Approved_vod,Read Only,,,,EPL -0000001304,,,,,,
a4d3E000000029pQAA,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Approved_vod,Read Only,,,,EPL -0000000367,,,,EM_Attendee_vod,BMS_HCPTS_Simple_Attendee_Layout,Simple_Attendee_HCPTS
a4d3E00000002A4QAI,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Approved_vod,Read Only,,,,EPL -00000102779,,,,EM_Event_Team_Member_vod,Simple Activity Team Member Layout,Activity_Team_Member_Simple_HCPTS
a4d3E000000025xQAA,01258000000QJVOAA4,,a4b3E00000001J3QAI,,,Read Only,,,,EPL -00000009992,,,,Expense_Line_vod,BMS Simple Expense Line Readonly Layout,
a4d3E000000028rQAA,012d0000000XPG9AAO,a4a3E00000002l6QAA,a4b3E00000001J3QAI,BMS_Simple_Read_Only,Pre-Event,Read Only,,,,EPL -0000001300,,,,,,
a4d3E000000029aQAA,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Approved_vod,,,,,EPL -0000002362,,,;Edit;Delete;,Expense_Header_vod,BMS Event Speaker Expense Header Layout,
a4d3E00000002AEQAY,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Post-Event-PostApproval,,,,,EPL -0000000372,,,;Edit;Delete;,EM_Attendee_vod,BMS_HCPTS_Simple_Attendee_Layout,Simple_Attendee_HCPTS
a4d3E000000025sQAA,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Closed_vod,,,,,EPL -00000009881,,,,Expense_Header_vod,BMS Simple Expense Header ReadOnly Layout,
a4d3E000000028IQAQ,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Closed_vod,,,,,EPL -00000009883,,,,EM_Expense_Estimate_vod,BMS Expense Estimate Simple Read Only,
a4d3E000000027ZQAQ,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Pre-Event,Read Only,,,,EPL -00000002966,,,,EM_Event_Budget_vod,Simple WBSCC Budget Layout,WBS_CC_Simple_HCPTS
a4d3E00000002AnQAI,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Post-Event-PostApproval,Read Only,,,,EPL -002343102779,,,,EM_Event_Team_Member_vod,Simple Activity Team Member Layout,Activity_Team_Member_Simple_HCPTS
